,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
338,ASIANPAINT,EQ,880.0,881.8,855.15,858.55,859.0,878.6,969509,837778988.3,2016-01-27,37122,INE021A01026
339,ASIANPAINT,EQ,880.5,884.25,865.1,868.4,872.0,881.85,1682214,1463304649.35,2016-03-31,42120,INE021A01026
340,ASIANPAINT,EQ,1156.35,1163.0,1137.0,1154.6,1155.0,1171.75,465079,536750151.2,2016-09-12,27396,INE021A01026
341,ASIANPAINT,EQ,1208.0,1209.0,1170.7,1177.2,1178.5,1204.15,1092266,1288877336.65,2016-09-07,69578,INE021A01026
342,ASIANPAINT,EQ,1020.0,1033.0,1017.85,1026.8,1024.05,1010.7,1082293,1112575880.4,2016-07-11,30308,INE021A01026
343,ASIANPAINT,EQ,1008.0,1017.05,998.2,1000.4,999.0,1002.5,884699,891894332.65,2016-07-04,28821,INE021A01026
344,ASIANPAINT,EQ,879.0,887.0,877.0,880.05,880.0,875.7,1203203,1060527014.55,2016-12-29,41840,INE021A01026
345,ASIANPAINT,EQ,1153.3,1157.0,1113.9,1123.1,1119.55,1139.75,1323248,1485420714.55,2016-10-26,59133,INE021A01026
346,ASIANPAINT,EQ,871.0,879.9,866.15,877.1,874.3,870.85,1438921,1256620586.3,2016-02-23,77345,INE021A01026
347,ASIANPAINT,EQ,986.1,990.0,980.3,984.1,983.0,985.45,678141,667420747.5,2016-06-23,33992,INE021A01026
348,ASIANPAINT,EQ,915.9,946.4,912.0,942.05,940.0,907.75,2371811,2217821716.45,2016-11-23,58078,INE021A01026
349,ASIANPAINT,EQ,874.0,885.0,860.0,867.8,866.0,874.0,1313467,1146767611.4,2016-12-26,45920,INE021A01026
350,ASIANPAINT,EQ,892.0,919.0,887.5,907.85,912.5,898.35,2228431,2017542098.6,2016-05-11,50920,INE021A01026
351,ASIANPAINT,EQ,872.0,879.0,864.0,873.6,872.45,872.0,469904,410533521.3,2016-05-04,24444,INE021A01026
352,ASIANPAINT,EQ,854.0,865.0,852.15,858.95,857.1,858.55,1392051,1195847638.4,2016-01-28,33365,INE021A01026
353,ASIANPAINT,EQ,1179.0,1190.0,1171.0,1182.6,1180.0,1177.2,888245,1047376514.05,2016-09-08,44034,INE021A01026
354,ASIANPAINT,EQ,1170.0,1175.5,1160.0,1173.55,1173.7,1163.6,616127,720362790.55,2016-09-15,26879,INE021A01026
355,ASIANPAINT,EQ,853.35,856.9,846.25,850.0,849.5,853.35,917099,780279340.8,2016-03-23,48887,INE021A01026
356,ASIANPAINT,EQ,834.0,856.0,830.0,840.35,835.5,845.55,2247202,1893415233.85,2016-01-20,53390,INE021A01026
357,ASIANPAINT,EQ,968.85,968.85,952.05,956.8,955.0,963.25,1251713,1198290294.95,2016-05-19,43537,INE021A01026
358,ASIANPAINT,EQ,1172.9,1172.9,1144.4,1153.5,1153.7,1165.75,948987,1094678100.9,2016-10-21,50350,INE021A01026
359,ASIANPAINT,EQ,1153.0,1153.0,1136.0,1148.35,1148.0,1143.35,407801,466051557.1,2016-08-08,25727,INE021A01026
360,ASIANPAINT,EQ,936.0,948.5,928.2,932.2,935.5,934.15,809152,759962896.85,2016-12-07,30689,INE021A01026
361,ASIANPAINT,EQ,931.3,937.15,909.0,910.25,911.0,941.75,1531811,1409529191.2,2016-12-12,111769,INE021A01026
362,ASIANPAINT,EQ,844.0,858.95,827.1,856.0,855.5,840.3,1171983,983688005.8,2016-02-17,67745,INE021A01026
363,ASIANPAINT,EQ,889.9,894.75,878.0,882.5,880.85,887.4,920875,814639582.5,2016-02-02,40334,INE021A01026
364,ASIANPAINT,EQ,1007.0,1029.0,996.55,1024.05,1026.0,1021.7,2420319,2465518281.15,2016-06-02,65328,INE021A01026
365,ASIANPAINT,EQ,1010.0,1014.85,994.0,999.6,999.75,1006.55,365441,366514706.65,2016-06-17,23008,INE021A01026
366,ASIANPAINT,EQ,1067.9,1083.35,1055.35,1062.75,1060.0,1076.7,872573,933321330.5,2016-11-02,41941,INE021A01026
367,ASIANPAINT,EQ,946.0,947.15,917.0,918.45,918.1,935.7,1310176,1211791587.6,2016-11-17,52750,INE021A01026
368,ASIANPAINT,EQ,963.15,985.0,962.8,982.25,982.05,956.25,815313,795046131.4,2016-05-25,44233,INE021A01026
369,ASIANPAINT,EQ,994.0,1004.25,978.45,984.9,988.0,998.25,1487177,1470024566.75,2016-05-30,30604,INE021A01026
370,ASIANPAINT,EQ,1194.35,1203.35,1160.0,1167.35,1185.0,1193.5,1125599,1323133370.95,2016-09-29,32981,INE021A01026
371,ASIANPAINT,EQ,1165.9,1176.0,1165.9,1170.6,1170.0,1165.05,615798,721297195.8,2016-09-21,43647,INE021A01026
372,ASIANPAINT,EQ,876.0,880.95,866.5,871.85,871.6,871.95,808137,706659370.2,2016-03-02,39952,INE021A01026
373,ASIANPAINT,EQ,870.0,876.0,865.1,872.55,872.4,864.9,965277,840849097.6,2016-03-17,57379,INE021A01026
374,ASIANPAINT,EQ,863.5,897.0,851.1,889.4,889.65,868.55,2296682,2013970065.3,2016-01-14,56010,INE021A01026
375,ASIANPAINT,EQ,882.0,885.6,876.9,878.75,879.7,883.55,294006,258901853.25,2016-01-01,7988,INE021A01026
376,ASIANPAINT,EQ,1047.85,1054.0,1042.05,1047.05,1047.0,1042.7,502766,526873647.75,2016-07-22,18071,INE021A01026
377,ASIANPAINT,EQ,1123.3,1124.65,1104.15,1111.85,1108.55,1123.3,452947,503171260.15,2016-08-29,22356,INE021A01026
378,ASIANPAINT,EQ,1056.0,1060.0,1008.0,1011.3,1010.25,1050.95,1719037,1765013593.5,2016-11-10,58652,INE021A01026
379,ASIANPAINT,EQ,994.95,999.0,989.6,992.05,993.45,998.8,1313970,1306023751.5,2016-06-10,17080,INE021A01026
380,ASIANPAINT,EQ,889.0,903.45,886.4,899.25,897.6,889.35,1739178,1560165088.8,2016-02-05,50547,INE021A01026
381,ASIANPAINT,EQ,888.5,889.0,866.5,876.55,877.0,884.2,707101,619434498.4,2016-02-10,23729,INE021A01026
382,ASIANPAINT,EQ,909.65,916.75,901.7,903.0,903.0,914.35,958978,870213616.4,2016-12-15,30946,INE021A01026
383,ASIANPAINT,EQ,1106.25,1127.55,1091.05,1123.3,1123.0,1105.9,869672,962594283.05,2016-08-26,32355,INE021A01026
384,ASIANPAINT,EQ,885.4,885.4,862.0,869.85,865.5,886.15,762479,664783921.6,2016-04-05,31026,INE021A01026
